Company Name,CEO,Headquarter,Jan 2020 Rank,Jan 2020 Market Capitalization,July 2020 Rank,July 2020 Market Capitalization,Aug 2020 Rank,Aug 2020 Market Capitalization,Jan 2021 Rank,Jan 2021 Market Capitalization,Logo,URL
INTEL CORPORATION,Bob Swan,USA,26,263.806 Billion USD,24,250.356 Billion USD,37,209.588 Billion USD,48,204.160 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/intel.jpg?itok=ui46esjx,https://www.intel.com
VERIZON COMMUNICATIONS,Hans Vestberg,USA,27,252.489 Billion USD,27,226.721 Billion USD,26,244.104 Billion USD,30,243.110 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/verizon.jpg?itok=j2tayYoF,https://www.verizon.com/
HOME DEPOT,Craig Menear,USA,28,239.612 Billion USD,23,267.267 Billion USD,20,304.620 Billion USD,26,285.970 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/homedepot.jpg?itok=HDAwuatV,https://www.homedepot.com/
LVMH,Bernard Arnault,France,29,237.807 Billion USD,29,222.380 Billion USD,30,228.944 Billion USD,24,313.500 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/lvmh.jpg?itok=lKGMB6k0,https://www.lvmh.com/
ROYAL DUTCH SHELL,Ben van Beurden,Netherlands,30,237.102 Billion USD,80,122.846 Billion USD,94,111.147 Billion USD,89,136.150 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/shell.jpg?itok=nb9qHIjZ,https://www.shell.com/
COCA-COLA COMPANY,James Quincey,USA,31,235.604 Billion USD,41,192.755 Billion USD,38,203.088 Billion USD,34,235.670 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/coca-cola.jpg?itok=bQONFRbC,https://www.coca-colacompany.com/
MERCK & COMPANY,Kenneth C. Frazier,USA,32,231.557 Billion USD,39,198.849 Billion USD,35,214.935 Billion USD,42,206.960 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/merck.jpg?itok=uhYF6COR,https://www.merck.com/index.html
CHEVRON CORPORATION,Michael Wirth,USA,33,228.682 Billion USD,54,164.873 Billion USD,57,158.869 Billion USD,67,162.570 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/chevron.jpg?itok=T28104yU,https://www.chevron.com/
WELLS FARGO & COMPANY,Charles W. Scharf,USA,34,227.138 Billion USD,98,103.894 Billion USD,109,97.398 Billion USD,99,124.780 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/wells-fargo.jpg?itok=uRZaK2uZ,https://www.wellsfargo.com/
PING AN INSURANCE (GROUP) COMPANY OF CHINA,Ma Mingzhe,China,35,226.850 Billion USD,26,233.090 Billion USD,27,241.150 Billion USD,35,233.340 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/pingan.jpg?itok=QRbkEqL9,http://www.pingan.com/
CHINA CONSTRUCTION BANK CORPORATION,None,China,36,222.690 Billion USD,38,200.850 Billion USD,43,189.670 Billion USD,53,187.290 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/china-construction-bank.jpg?itok=qkZ64_wT,http://en.ccb.com
PFIZER,Albert Bourla,USA,37,215.483 Billion USD,43,191.697 Billion USD,34,216.051 Billion USD,46,204.600 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/pfizer.jpg?itok=BMzlWI1M,https://www.pfizer.com/
NOVARTIS AG,Vasant Narasimhan,Switzerland,38,215.018 Billion USD,37,200.914 Billion USD,40,193.805 Billion USD,39,217.770 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/novartis.jpg?itok=-OF6XljO,https://www.novartis.com/
COMCAST CORPORATION,Brian L. Roberts,USA,39,206.399 Billion USD,47,179.143 Billion USD,39,196.748 Billion USD,32,239.750 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/comcast.jpg?itok=QCxsp1j3,https://corporate.comcast.com/
CISCO SYSTEMS,Chuck Robbins,USA,40,204.498 Billion USD,42,192.664 Billion USD,50,178.392 Billion USD,52,189.090 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/cisco.jpg?itok=P8sT0TDh,https://www.cisco.com/
TOYOTA MOTOR CORPORATION,Akio Toyoda,Japan,41,203.342 Billion USD,48,174.586 Billion USD,46,186.336 Billion USD,40,215.720 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/toyota.jpg?itok=VJM8J-75,https://www.toyota-global.com/
KWEICHOW MOUTAI,Li Bao Fang,China,42,190.820 Billion USD,22,271.180 Billion USD,24,294.700 Billion USD,16,387.400 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/moutai.jpg?itok=2P26ZfvS,http://www.moutaichina.com/
PEPSICO,Ramon Laguarta,USA,43,189.387 Billion USD,46,185.246 Billion USD,42,190.280 Billion USD,45,204.940 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/pepsico.jpg?itok=0PbY4Qyy,https://www.pepsico.com/
BOEING COMPANY,Dave Calhoun,USA,44,186.878 Billion USD,102,102.036 Billion USD,113,94.545 Billion USD,102,120.840 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/boeing.jpg?itok=sEcgkuqH,http://www.boeing.com/
AGRICULTURAL BANK OF CHINA,Zhou Mubing,China,45,186.290 Billion USD,52,170.820 Billion USD,56,159.900 Billion USD,65,164.070 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/abchina.jpg?itok=3Zn1MYEV,http://www.abchina.com/en/
CITI GROUP,Michael Corbat,USA,46,178.415 Billion USD,61,153.090 Billion USD,103,102.636 Billion USD,96,128.380 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/citi.jpg?itok=e85yH9Ci,https://www.citigroup.com
CHINA MOBILE,Li Yue,China,47,172.898 Billion USD,67,143.970 Billion USD,63,153.090 Billion USD,105,117.140 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/china-mobile.jpg?itok=GrAGUZ8O,https://www.chinamobileltd.com/
ORACLE CORPORATION,Safra A. Catz,USA,48,171.834 Billion USD,51,171.662 Billion USD,54,169.360 Billion USD,50,190.450 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/oracle.jpg?itok=m6Wifa25,https://www.oracle.com/
SAP SE,Christian Klein,Germany,49,169.596 Billion USD,53,166.336 Billion USD,41,191.276 Billion USD,74,155.850 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/sap_0.jpg?itok=LmKPIOhy,https://www.sap.com/
L'OREAL,Jean Paul Agon,France,50,165.742 Billion USD,44,186.696 Billion USD,49,180.767 Billion USD,41,211.890 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/loreal.jpg?itok=multV_QX,https://www.loreal.com/
ANHEUSER-BUSCH INBEV,Carlos Brito,Belgium,51,163.224 Billion USD,111,98.237 Billion USD,99,109.391 Billion USD,87,136.860 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/abinbev.jpg?itok=LcNikC1R,https://www.ab-inbev.com/
ADOBE,Shantanu Narayen,USA,52,160.795 Billion USD,31,212.468 Billion USD,31,226.987 Billion USD,31,239.920 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/adobe.jpg?itok=irLvdHZd,https://www.adobe.com/
HSBC HOLDINGS,Noel Quinn,UK,53,160.680 Billion USD,108,99.917 Billion USD,124,87.501 Billion USD,120,105.160 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/hsbc.jpg?itok=0I4f5_FA,https://www.hsbc.com/
NIKE,John Donahoe,USA,54,159.997 Billion USD,62,153.062 Billion USD,52,171.198 Billion USD,37,222.080 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/nike.jpg?itok=eUf-uKnI,https://www.nike.com/
MCDONALD'S CORPORATION,Chris Kempczinski,USA,55,156.859 Billion USD,70,136.457 Billion USD,58,157.430 Billion USD,70,159.890 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/mcdonalds.jpg?itok=niZmJxNo,https://www.mcdonalds.com/
MEDTRONIC,Geoffrey S. Martha,Ireland,56,153.912 Billion USD,79,126.286 Billion USD,79,132.623 Billion USD,72,157.670 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/medtronic%20%281%29.jpg?itok=mvjgWyNn,https://www.medtronic.com/
ABBOTT LABORATORIES,Robert Ford,USA,57,151.937 Billion USD,55,163.141 Billion USD,48,181.302 Billion USD,49,194.060 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/abbott.jpg?itok=chkYqvXF,http://www.abbott.com/
BRISTOL-MYERS SQUIBB COMPANY,Giovanni Caforio,USA,58,151.906 Billion USD,74,133.815 Billion USD,73,140.172 Billion USD,83,140.170 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/bristol-myers.jpg?itok=pI7uGBwX,https://www.bms.com/
UNILEVER GROUP,Alan Jope,Netherlands,59,151.747 Billion USD,66,144.185 Billion USD,59,157.350 Billion USD,73,157.180 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/unilever.jpg?itok=10zx0cXa,https://www.unilever.com/
BANK OF CHINA,Gao Yingxin,China,60,150.540 Billion USD,40,192.790 Billion USD,66,149.070 Billion USD,94,129.250 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/bankofchina.jpg?itok=sDtVyVDN,https://www.boc.cn/en/
PETROCHINA COMPANY,Wang Dongjin,China,61,148.070 Billion USD,93,109.247 Billion USD,101,108.182 Billion USD,114,109.360 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/petrochina.jpg?itok=5Lzlty3y,http://www.petrochina.com.cn
SALESFORCE.COM,Marc Benioff,USA,62,146.823 Billion USD,50,173.470 Billion USD,44,186.985 Billion USD,47,204.220 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/salesforce.jpg?itok=SqT67aGK,https://www.salesforce.com
NVIDIA CORPORATION,Jensen Huang,USA,63,145.968 Billion USD,25,236.461 Billion USD,19,312.014 Billion USD,23,323.240 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/nvidia.jpg?itok=m8i0_71F,http://www.nvidia.in/
TOTAL S.A,Patrick Pouyanne,France,64,144.694 Billion USD,107,100.342 Billion USD,107,100.345 Billion USD,108,114.130 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/total.jpg?itok=9y6KJWqI,https://www.total.com/en
NETFLIX,Ted Sarandos,USA,65,144.540 Billion USD,32,209.738 Billion USD,32,217.116 Billion USD,33,238.890 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/netflix.jpg?itok=_QEA5lZP,https://www.netflix.com/in/
AMGEN,Robert A. Bradway,USA,66,143.789 Billion USD,64,151.909 Billion USD,74,139.184 Billion USD,91,133.850 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/amgen.jpg?itok=nnixTZNV,https://www.amgen.com/
BHP GROUP,Mike Henry,Australia,67,141.256 Billion USD,77,127.322 Billion USD,76,137.610 Billion USD,64,165.000 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/bhp.jpg?itok=JlOTroTx,https://www.bhp.com/
CHINA MERCHANTS BANK,Huiyu Tian,China,68,140.140 Billion USD,69,141.800 Billion USD,72,141.080 Billion USD,68,162.140 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/china-merchants-bank.jpg?itok=8nw3YC4h,http://www.cmbchina.com/
NOVO NORDISK A/S,Lars Fruergaard Jorgensen,Denmark,69,137.602 Billion USD,59,155.464 Billion USD,62,154.087 Billion USD,66,163.070 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/novonordisk.jpg?itok=2o6c2ZL4,https://www.novonordisk.com
HUAWEI,None,China,69,None,None,None,None,None,69,None,None,https://www.huawei.com/en/
RELIANCE INDUSTRIES,Mukesh Ambani,India,70,136.372 Billion USD,56,161.177 Billion USD,47,183.066 Billion USD,56,178.950 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/Reliance%20Industies.jpg?itok=Fdj_9Ugr,https://www.ril.com/
PHILIP MORRIS INTERNATIONAL,Andre Calantzopoulos,USA,71,135.352 Billion USD,91,109.715 Billion USD,88,121.562 Billion USD,95,128.930 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/philip-morris-international.jpg?itok=YusOZTTI,https://www.pmi.com/
ASTRAZENECA,Pascal Soriot,UK,72,135.300 Billion USD,68,142.120 Billion USD,69,145.037 Billion USD,93,130.990 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/astrazeneca.jpg?itok=64cXbodW,https://www.astrazeneca.com/
ACCENTURE,Julie Sweet,Ireland,73,134.171 Billion USD,69,137.435 Billion USD,65,151.304 Billion USD,60,173.070 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/accenture.jpg?itok=mVzW1dVE,https://www.accenture.com/
THERMO FISHER SCIENTIFIC,Marc N. Casper,USA,74,132.528 Billion USD,65,144.509 Billion USD,53,169.538 Billion USD,54,184.600 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/thermo-fisher.jpg?itok=Z_3MhBiO,https://www.thermofisher.com/in/en/home.html
AIA GROUP,Lee Yuan Siong,Hong Kong,75,131.852 Billion USD,84,116.519 Billion USD,90,117.958 Billion USD,75,152.330 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/aia.jpg?itok=hmmcWL6E,http://www.aia.com/
ABBVIE,Richard A. Gonzalez,USA,76,131.674 Billion USD,49,174.261 Billion USD,55,167.412 Billion USD,51,189.100 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/abbvie.jpg?itok=Z92MtSKA,https://www.abbvie.com/
COSTCO WHOLESALE CORPORATION,W. Craig Jelinek,USA,77,131.405 Billion USD,73,134.992 Billion USD,64,152.154 Billion USD,63,166.900 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/costco.jpg?itok=3NO2EzAc,https://www.costco.com/
RAYTHEON TECHNOLOGIES CORPORATION,Gregory Hayes,USA,78,131.131 Billion USD,116,93.622 Billion USD,117,92.072 Billion USD,115,108.600 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/raytheon_technologies.JPG?itok=4utvVbRx,http://www.utc.com/Pages/Home.aspx
PAYPAL HOLDINGS,Daniel Schulman,USA,79,129.513 Billion USD,34,208.041 Billion USD,28,230.894 Billion USD,28,274.410 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/paypal.jpg?itok=Ug8mRwGe,https://www.paypal.com/
BP P.L.C.,Bernard Looney,UK,80,128.560 Billion USD,141,77.784 Billion USD,164,71.842 Billion USD,208,70.503 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/bp.jpg?itok=3DeZwcwC,https://www.bp.com/
HONEYWELL INTERNATIONAL,Darius Adamczyk,USA,81,128.435 Billion USD,103,101.782 Billion USD,96,110.531 Billion USD,79,149.250 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/honeywell.jpg?itok=pDRKgMDz,https://www.honeywell.com/
ELI LILLY AND COMPANY,David A. Ricks,USA,82,128.184 Billion USD,58,156.733 Billion USD,71,142.763 Billion USD,69,161.510 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/lilly.jpg?itok=rkCzZs03,https://www.lilly.com/
CHINA LIFE INSURANCE COMPANY,Dairen Lin,China,83,128.050 Billion USD,88,114.946 Billion USD,67,148.959 Billion USD,84,138.790 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/china-life.jpg?itok=osD6J7u3,https://www.chinalife.com.cn
ASML HOLDING,Peter Wennink,Netherlands,84,127.542 Billion USD,57,159.207 Billion USD,61,154.561 Billion USD,43,205.120 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/asml.jpg?itok=OwxZAXxq,https://www.asml.com/asml/en/s427
BROADCOM,Hock E. Tan,USA,85,127.202 Billion USD,78,126.877 Billion USD,78,132.729 Billion USD,57,178.080 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/broadcom.jpg?itok=Kh0VqGfA,https://www.broadcom.com/
UNION PACIFIC CORPORATION,Lance M. Fritz,USA,86,127.161 Billion USD,89,114.732 Billion USD,80,130.045 Billion USD,82,140.310 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/uniion-pacific.jpg?itok=q5t3ivwn,https://www.up.com/
SANOFI,Paul Hudson,France,87,127.049 Billion USD,76,127.725 Billion USD,83,127.997 Billion USD,103,120.410 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/sanofi.jpg?itok=olGZKukR,https://www.sanofi.com/en/
TEXAS INSTRUMENTS,Rich Templeton,USA,88,126.271 Billion USD,87,115.465 Billion USD,81,128.534 Billion USD,77,150.660 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/texas-instruments.jpg?itok=ZyFaxKM3,http://www.ti.com/
PROSUS,Bob van Dijk,Netherlands,89,125.912 Billion USD,63,152.827 Billion USD,60,155.875 Billion USD,58,176.280 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/prosus.JPG?itok=-fKcDaHf,https://www.prosus.com/
IBM,Arvind Krishna,USA,90,119.942 Billion USD,96,106.281 Billion USD,98,109.684 Billion USD,109,112.170 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/ibm.jpg?itok=mAndAi5n,https://www.ibm.com/
ANT GROUP,Xiaoming Hu,China,90,None,None,None,None,None,90,None,https://value.today/sites/default/files/styles/medium/public/2020-10/ant-group.PNG?itok=Rt2cgnYd,https://www.antgroup.com/
NEXTERA ENERGY,James L Robo,USA,91,119.504 Billion USD,82,120.600 Billion USD,75,138.282 Billion USD,76,151.140 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/nextera-energy.jpg?itok=vEHs_-mR,http://www.nexteraenergy.com/
AIRBUS,Guillaume Faury,Netherlands,92,117.260 Billion USD,198,58.582 Billion USD,192,63.877 Billion USD,164,85.683 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/airbus.jpg?itok=FbD6gkJz,https://www.airbus.com
GLAXOSMITHKLINE,Dame Emma Walmsley,UK,93,116.685 Billion USD,105,101.319 Billion USD,104,101.776 Billion USD,146,91.765 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/gsk.jpg?itok=pP5Bhpff,https://www.gsk.com/
RIO TINTO GROUP,Jean-Sebastien Jacques,Australia,94,115.285 Billion USD,92,109.654 Billion USD,148,76.709 Billion USD,144,93.792 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/riotinto.jpg?itok=RmV5wir6,https://www.riotinto.com/en
LINDE AG,Steve Angel,UK,95,114.005 Billion USD,86,116.202 Billion USD,82,128.108 Billion USD,88,136.550 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/linde-group.jpg?itok=TZn_8Zt_,https://www.the-linde-group.com
ROYAL BANK OF CANADA,David I. McKay,Canada,96,113.454 Billion USD,112,97.064 Billion USD,102,105.418 Billion USD,106,116.720 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/royal-bank.jpg?itok=FmJQb-E-,https://www.rbcroyalbank.com
TATA CONSULTANCY SERVICES (TCS),Rajesh Gopinathan,India,97,113.358 Billion USD,94,107.211 Billion USD,97,109.707 Billion USD,78,150.000 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/TCS.jpg?itok=nLDM2c9u,https://www.tcs.com/
LOCKHEED MARTIN CORPORATION,Marillyn Hewson,USA,98,112.401 Billion USD,104,101.510 Billion USD,100,108.901 Billion USD,133,99.318 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/lockheed-martin.jpg?itok=oPDHcx9z,https://www.lockheedmartin.com/
VOLKSWAGEN,Herbert Diess,Germany,99,111.302 Billion USD,138,79.010 Billion USD,130,84.276 Billion USD,128,99.864 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/volkswagen.jpg?itok=3wi-S5DN,https://www.volkswagenag.com/
INDITEX (INDUSTRIA DE DISENO TEXTIL),Pablo Isla,Spain,100,110.958 Billion USD,127,85.254 Billion USD,128,85.078 Billion USD,129,99.765 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/inditex.jpg?itok=mPQV2JCw,https://www.inditex.com/
SIEMENS,Joe Kaeser,Germany,101,108.756 Billion USD,115,94.770 Billion USD,93,111.194 Billion USD,107,114.390 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/siemens.jpg?itok=QHO55Vs3,https://www.siemens.com/
DANAHER CORPORATION,Thomas P. Joyce Jr,USA,102,108.447 Billion USD,85,116.502 Billion USD,68,147.415 Billion USD,71,157.800 Billion USD,https://value.today/sites/default/files/styles/medium/public/2020-05/danaher.JPG?itok=Lcxid4f6,http://www.danaher.com/
